,record_compared_1,record_compared_2,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,is_match,pred,probabilties_0,probabilties_1
0,5f3ba61f3fd5b671b22014fa,5f3ba61e3fd5b671b22006f6,,,0.6153846153846154,0.25,,,,,,,0.0,0,0.9999746,2.5383697e-05
1,5f3ba61f3fd5b671b2201ddc,5f3ba61e3fd5b671b22006f6,,0.0,0.631578947368421,0.2727272727272727,,,,,,,0.0,0,0.9999746,2.5383697e-05
2,5f3ba6203fd5b671b2202d21,5f3ba61e3fd5b671b22006f6,,0.0,0.3636363636363636,0.0769230769230769,,0.0,,,,,0.0,0,0.99996597,3.404296e-05
3,5f3ba6213fd5b671b2204217,5f3ba61e3fd5b671b22006f6,,1.0,0.5217391304347826,0.2727272727272727,,1.0,,,,,0.0,0,0.9999746,2.5383697e-05
4,5f3ba6213fd5b671b220489a,5f3ba61e3fd5b671b22006f6,,1.0,0.5217391304347826,0.2727272727272727,,1.0,,,,,0.0,0,0.9999746,2.5383697e-05
5,5f3ba61f3fd5b671b2202069,5f3ba61e3fd5b671b22006f6,,0.0,0.631578947368421,0.2727272727272727,,1.0,,,,,0.0,0,0.9999746,2.5383697e-05
6,5f3ba6203fd5b671b22029cc,5f3ba61e3fd5b671b22006f6,,,0.631578947368421,0.2727272727272727,,0.4444444444444445,,,,,0.0,0,0.9999746,2.5383697e-05
7,5f3ba6203fd5b671b220349f,5f3ba61e3fd5b671b22006f6,,,0.32,0.0714285714285714,,0.0,,,,,0.0,0,0.99996597,3.404296e-05
8,5f3ba6213fd5b671b22040ba,5f3ba61e3fd5b671b22006f6,,0.0,0.631578947368421,0.2727272727272727,,0.4444444444444445,,,,,0.0,0,0.9999746,2.5383697e-05
9,5f3ba6203fd5b671b2202a29,5f3ba61e3fd5b671b22006f6,,0.0,0.4102564102564102,0.0714285714285714,,0.0,,,,,0.0,0,0.99996597,3.404296e-05
10,5f3ba6203fd5b671b2203251,5f3ba61e3fd5b671b22006f6,,0.0,0.5217391304347826,0.2727272727272727,,,,,,,0.0,0,0.9999746,2.5383697e-05
11,5f3ba6213fd5b671b22044b2,5f3ba61e3fd5b671b22006f6,,,0.32,0.0714285714285714,,0.0,,,,,0.0,0,0.99996597,3.404296e-05
12,5f3ba6213fd5b671b22049ff,5f3ba61e3fd5b671b22006f6,,,0.2222222222222222,0.0714285714285714,,0.0,,,,,0.0,0,0.99996597,3.404296e-05
13,5f3ba61f3fd5b671b2202064,5f3ba61e3fd5b671b22006f6,,,0.2222222222222222,0.0714285714285714,,0.0,,,,,0.0,0,0.99996597,3.404296e-05
14,5f3ba6213fd5b671b2203f49,5f3ba61e3fd5b671b22006f6,,,0.2222222222222222,0.0714285714285714,,0.0,,,,,0.0,0,0.99996597,3.404296e-05
15,5f3ba6203fd5b671b22024ec,5f3ba61e3fd5b671b22006f6,,0.0,0.631578947368421,0.2727272727272727,,,,,,,0.0,0,0.9999746,2.5383697e-05
16,5f3ba6203fd5b671b2202541,5f3ba61e3fd5b671b22006f6,,,0.4102564102564102,0.0714285714285714,,0.0,,,,,0.0,0,0.99996597,3.404296e-05
17,5f3ba6203fd5b671b2202b23,5f3ba61e3fd5b671b22006f6,,0.0,0.631578947368421,0.2727272727272727,,0.4444444444444445,,,,,0.0,0,0.9999746,2.5383697e-05
18,5f3ba6213fd5b671b2203b67,5f3ba61e3fd5b671b22006f6,,0.0,0.5217391304347826,0.2727272727272727,,0.4444444444444445,,,,,0.0,0,0.9999746,2.5383697e-05
