,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61f3fd5b671b2200d7e,5f3ba61e3fd5b671b2200400,1,/,/,0.5263157894736842,0.8571428571428571,/,/,/,/,/,/,54,54,1.0
1,5f3ba61f3fd5b671b2200d7e,5f3ba61e3fd5b671b220042d,1,/,/,0.3783783783783784,0.3333333333333333,/,/,/,/,/,/,,,0.0
2,5f3ba61f3fd5b671b2200faa,5f3ba61e3fd5b671b2200400,1,/,/,0.3243243243243243,0.2,/,/,/,/,/,/,,,0.0
3,5f3ba61f3fd5b671b2200faa,5f3ba61e3fd5b671b220042d,1,/,/,0.3333333333333333,0.2222222222222222,/,/,/,/,0,/,,,0.0
4,5f3ba61f3fd5b671b2200f2a,5f3ba61e3fd5b671b2200400,1,/,/,0.3243243243243243,0.2,/,/,/,/,/,/,,,0.0
5,5f3ba61f3fd5b671b2200f2a,5f3ba61e3fd5b671b220042d,1,/,/,0.3333333333333333,0.2222222222222222,/,/,/,/,0.22933333333333328,/,,,0.0
6,5f3ba61f3fd5b671b2201039,5f3ba61e3fd5b671b2200400,1,/,/,0.5263157894736842,0.8571428571428571,/,/,/,/,/,/,54,54,1.0
7,5f3ba61f3fd5b671b2201039,5f3ba61e3fd5b671b220042d,1,/,/,0.3783783783783784,0.3333333333333333,/,/,/,/,/,/,,,0.0
8,5f3ba61f3fd5b671b2200d9c,5f3ba61e3fd5b671b2200400,1,/,/,0.3243243243243243,0.2,/,/,/,/,/,/,,,0.0
9,5f3ba61f3fd5b671b2200d9c,5f3ba61e3fd5b671b220042d,1,/,/,0.3333333333333333,0.2222222222222222,/,/,/,/,0.22933333333333328,/,,,0.0
10,5f3ba61f3fd5b671b2200e53,5f3ba61e3fd5b671b2200400,1,/,/,0.5263157894736842,0.8571428571428571,/,/,/,/,/,/,54,54,1.0
11,5f3ba61f3fd5b671b2200e53,5f3ba61e3fd5b671b220042d,1,/,/,0.3783783783783784,0.3333333333333333,/,/,/,/,/,/,,,0.0
12,5f3ba61f3fd5b671b2200f41,5f3ba61e3fd5b671b2200400,1,/,/,0.3684210526315789,0.3,/,/,/,/,/,/,,,0.0
13,5f3ba61f3fd5b671b2200f41,5f3ba61e3fd5b671b220042d,1,/,/,0.3243243243243243,0.2,/,/,/,/,/,/,,,0.0
14,5f3ba61f3fd5b671b2201100,5f3ba61e3fd5b671b2200400,1,/,/,0.2857142857142857,0.0769230769230769,/,/,/,/,/,/,,,0.0
15,5f3ba61f3fd5b671b2201100,5f3ba61e3fd5b671b220042d,1,/,/,0.2941176470588235,0.0833333333333333,/,/,/,/,0,/,,,0.0
16,5f3ba61f3fd5b671b2200d77,5f3ba61e3fd5b671b2200400,1,/,/,0.8275862068965517,0.8571428571428571,/,/,/,/,/,/,54,54,1.0
17,5f3ba61f3fd5b671b2200d77,5f3ba61e3fd5b671b220042d,1,/,/,0.6428571428571429,0.3333333333333333,/,/,/,/,/,/,,,0.0
18,5f3ba61f3fd5b671b2200f38,5f3ba61e3fd5b671b2200400,1,/,/,0.5263157894736842,0.8571428571428571,/,/,/,/,/,/,54,54,1.0
19,5f3ba61f3fd5b671b2200f38,5f3ba61e3fd5b671b220042d,1,/,/,0.3783783783783784,0.3333333333333333,/,/,/,/,/,/,,,0.0
20,5f3ba61f3fd5b671b2200dd8,5f3ba61e3fd5b671b22003f5,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
21,5f3ba61f3fd5b671b2200dd8,5f3ba61e3fd5b671b220041f,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
22,5f3ba61f3fd5b671b2200dd8,5f3ba61e3fd5b671b22003ca,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
23,5f3ba61f3fd5b671b2200e13,5f3ba61e3fd5b671b22003f5,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
24,5f3ba61f3fd5b671b2200e13,5f3ba61e3fd5b671b220041f,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
25,5f3ba61f3fd5b671b2200e13,5f3ba61e3fd5b671b22003ca,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
26,5f3ba61f3fd5b671b2200f4d,5f3ba61e3fd5b671b22003f5,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
27,5f3ba61f3fd5b671b2200f4d,5f3ba61e3fd5b671b220041f,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
28,5f3ba61f3fd5b671b2200f4d,5f3ba61e3fd5b671b22003ca,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
29,5f3ba61f3fd5b671b2200d4b,5f3ba61e3fd5b671b22003f5,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
30,5f3ba61f3fd5b671b2200d4b,5f3ba61e3fd5b671b220041f,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
31,5f3ba61f3fd5b671b2200d4b,5f3ba61e3fd5b671b22003ca,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
32,5f3ba61f3fd5b671b2200dc4,5f3ba61e3fd5b671b22003f5,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
