,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61f3fd5b671b2200d24,5f3ba61e3fd5b671b220059e,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
1,5f3ba61f3fd5b671b2200e99,5f3ba61e3fd5b671b220059e,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
2,5f3ba61f3fd5b671b2200dca,5f3ba61e3fd5b671b220059e,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
3,5f3ba61f3fd5b671b2200d7e,5f3ba61e3fd5b671b2200598,1,/,/,0.8888888888888888,0.1428571428571428,/,/,/,/,/,/,,,0.0
4,5f3ba61f3fd5b671b2200faa,5f3ba61e3fd5b671b2200598,1,/,/,0.8636363636363636,0.1666666666666666,/,/,/,/,0,/,,,0.0
5,5f3ba61f3fd5b671b2200f2a,5f3ba61e3fd5b671b2200598,1,/,/,0.8636363636363636,0.1666666666666666,/,/,/,/,0.22933333333333328,/,,,0.0
6,5f3ba61f3fd5b671b2201039,5f3ba61e3fd5b671b2200598,1,/,/,0.8888888888888888,0.1428571428571428,/,/,/,/,/,/,,,0.0
7,5f3ba61f3fd5b671b2200d9c,5f3ba61e3fd5b671b2200598,1,/,/,0.8636363636363636,0.1666666666666666,/,/,/,/,0.22933333333333328,/,,,0.0
8,5f3ba61f3fd5b671b2200e53,5f3ba61e3fd5b671b2200598,1,/,/,0.8888888888888888,0.1428571428571428,/,/,/,/,/,/,,,0.0
9,5f3ba61f3fd5b671b2200f41,5f3ba61e3fd5b671b2200598,1,/,/,0.8444444444444444,0.1428571428571428,/,/,/,/,/,/,,,0.0
10,5f3ba61f3fd5b671b2201100,5f3ba61e3fd5b671b2200598,1,/,/,0.238095238095238,0.125,/,/,/,/,0,/,,,0.0
11,5f3ba61f3fd5b671b2200d77,5f3ba61e3fd5b671b2200598,1,/,/,0.5,0.1428571428571428,/,/,/,/,/,/,,,0.0
12,5f3ba61f3fd5b671b2200f38,5f3ba61e3fd5b671b2200598,1,/,/,0.8888888888888888,0.1428571428571428,/,/,/,/,/,/,,,0.0
13,5f3ba61f3fd5b671b2200d96,5f3ba61e3fd5b671b220061b,1,/,/,0.5263157894736842,0.0,/,/,/,/,/,/,,,0.0
14,5f3ba61f3fd5b671b2200d96,5f3ba61e3fd5b671b22005db,1,/,/,0.7692307692307693,0.25,/,/,/,/,/,/,513,513,1.0
15,5f3ba61f3fd5b671b2200d96,5f3ba61e3fd5b671b2200592,1,/,/,0.5128205128205128,0.0,/,/,/,/,/,/,,,0.0
16,5f3ba61f3fd5b671b22010da,5f3ba61e3fd5b671b220061b,1,/,/,0.5405405405405406,0.0,/,0,/,/,/,/,,,0.0
17,5f3ba61f3fd5b671b22010da,5f3ba61e3fd5b671b22005db,1,/,/,0.631578947368421,0.0,/,/,/,/,/,/,,,0.0
18,5f3ba61f3fd5b671b22010da,5f3ba61e3fd5b671b2200592,1,/,/,0.5263157894736842,0.0,/,0,/,/,/,/,,,0.0
19,5f3ba61f3fd5b671b22010e1,5f3ba61e3fd5b671b220061b,1,/,/,0.5294117647058824,0.0,/,/,/,/,0,/,,,0.0
20,5f3ba61f3fd5b671b22010e1,5f3ba61e3fd5b671b22005db,1,/,/,0.6857142857142857,0.0,/,/,/,/,0,/,,,0.0
21,5f3ba61f3fd5b671b22010e1,5f3ba61e3fd5b671b2200592,1,/,/,0.5142857142857142,0.0,/,/,/,/,0,/,,,0.0
22,5f3ba61f3fd5b671b2200e1f,5f3ba61e3fd5b671b220061b,1,/,/,0.5263157894736842,0.0,/,0.7333333333333332,/,/,/,/,,,0.0
23,5f3ba61f3fd5b671b2200e1f,5f3ba61e3fd5b671b22005db,1,/,/,0.5641025641025641,0.0,/,/,/,/,/,/,,,0.0
24,5f3ba61f3fd5b671b2200e1f,5f3ba61e3fd5b671b2200592,1,/,/,0.5128205128205128,0.0,/,0,/,/,/,/,,,0.0
25,5f3ba61f3fd5b671b2200fbb,5f3ba61e3fd5b671b220061b,1,/,/,0.5263157894736842,0.0,/,/,/,/,/,/,,,0.0
26,5f3ba61f3fd5b671b2200fbb,5f3ba61e3fd5b671b22005db,1,/,/,0.6153846153846154,0.0,/,/,/,/,/,/,,,0.0
27,5f3ba61f3fd5b671b2200fbb,5f3ba61e3fd5b671b2200592,1,/,/,0.5641025641025641,0.0,/,/,/,/,/,/,,,0.0
28,5f3ba61f3fd5b671b220101f,5f3ba61e3fd5b671b220061b,1,/,/,0.5263157894736842,0.0,/,/,/,/,/,/,,,0.0
29,5f3ba61f3fd5b671b220101f,5f3ba61e3fd5b671b22005db,1,/,/,0.6153846153846154,0.0,/,/,/,/,/,/,,,0.0
30,5f3ba61f3fd5b671b220101f,5f3ba61e3fd5b671b2200592,1,/,/,0.5641025641025641,0.0,/,/,/,/,/,/,,,0.0
31,5f3ba61f3fd5b671b2200dd8,5f3ba61e3fd5b671b2200655,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
32,5f3ba61f3fd5b671b2200dd8,5f3ba61e3fd5b671b22005ab,1,/,/,1.0,1.0,/,/,/,/,/,/,435,435,1.0
33,5f3ba61f3fd5b671b2200dd8,5f3ba61e3fd5b671b2200633,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
34,5f3ba61f3fd5b671b2200dd8,5f3ba61e3fd5b671b2200575,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
35,5f3ba61f3fd5b671b2200dd8,5f3ba61e3fd5b671b220059f,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
36,5f3ba61f3fd5b671b2200e13,5f3ba61e3fd5b671b2200655,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
37,5f3ba61f3fd5b671b2200e13,5f3ba61e3fd5b671b22005ab,1,/,/,1.0,1.0,/,/,/,/,/,/,435,435,1.0
38,5f3ba61f3fd5b671b2200e13,5f3ba61e3fd5b671b2200633,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
39,5f3ba61f3fd5b671b2200e13,5f3ba61e3fd5b671b2200575,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
40,5f3ba61f3fd5b671b2200e13,5f3ba61e3fd5b671b220059f,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
41,5f3ba61f3fd5b671b2200f4d,5f3ba61e3fd5b671b2200655,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
42,5f3ba61f3fd5b671b2200f4d,5f3ba61e3fd5b671b22005ab,1,/,/,1.0,1.0,/,/,/,/,/,/,435,435,1.0
43,5f3ba61f3fd5b671b2200f4d,5f3ba61e3fd5b671b2200633,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
44,5f3ba61f3fd5b671b2200f4d,5f3ba61e3fd5b671b2200575,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
45,5f3ba61f3fd5b671b2200f4d,5f3ba61e3fd5b671b220059f,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
46,5f3ba61f3fd5b671b2200d4b,5f3ba61e3fd5b671b2200655,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
