,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b2200524,5f3ba61f3fd5b671b22011a9,1,/,/,0.3428571428571428,0.1428571428571428,/,/,/,/,/,/,,,0.0
1,5f3ba61e3fd5b671b2200524,5f3ba61f3fd5b671b2201127,1,/,/,0.3333333333333333,0.1,/,/,/,/,/,/,,,0.0
2,5f3ba61e3fd5b671b220052f,5f3ba61f3fd5b671b220112d,1,/,/,0.3529411764705882,0.1666666666666666,/,/,/,/,/,/,,,0.0
3,5f3ba61e3fd5b671b2200537,5f3ba61f3fd5b671b2201189,1,/,/,0.3125,0.0,/,/,/,/,/,/,,,0.0
4,5f3ba61e3fd5b671b2200537,5f3ba61f3fd5b671b220117c,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
5,5f3ba61e3fd5b671b220052a,5f3ba61f3fd5b671b2201189,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
6,5f3ba61e3fd5b671b220052a,5f3ba61f3fd5b671b220117c,1,/,/,0.3571428571428571,0.0,/,/,/,/,/,/,669,669,1.0
7,5f3ba61e3fd5b671b2200538,5f3ba61f3fd5b671b2201115,1,/,/,0.3529411764705882,0.1666666666666666,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b2200538,5f3ba61f3fd5b671b220118e,1,/,/,0.4242424242424242,0.5,/,/,/,/,/,/,143,143,1.0
9,5f3ba61e3fd5b671b2200514,5f3ba61f3fd5b671b2201129,1,/,/,0.5517241379310345,1.0,/,/,/,/,/,/,189,189,1.0
10,5f3ba61e3fd5b671b2200513,5f3ba61f3fd5b671b2201114,1,/,/,0.3125,0.0,/,/,/,/,/,/,,,0.0
11,5f3ba61e3fd5b671b2200513,5f3ba61f3fd5b671b2201138,1,/,/,0.3225806451612903,0.0,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b2200513,5f3ba61f3fd5b671b2201156,1,/,/,0.3225806451612903,0.0,/,/,0.08872901678657075,0,0,/,,,0.0
13,5f3ba61e3fd5b671b2200509,5f3ba61f3fd5b671b220111a,1,/,/,0.3243243243243243,0.1111111111111111,/,/,0.4690265486725662,0.13242009132420118,0,/,,,0.0
14,5f3ba61e3fd5b671b220052d,5f3ba61f3fd5b671b220111f,1,/,/,0.5333333333333333,0.2857142857142857,/,/,/,/,/,/,,,0.0
15,5f3ba61e3fd5b671b220052d,5f3ba61f3fd5b671b220111c,1,/,/,0.3888888888888889,0.5,/,/,/,/,/,/,,,0.0
16,5f3ba61e3fd5b671b2200502,5f3ba61f3fd5b671b22011a6,1,/,/,0.4242424242424242,0.5,/,/,/,/,/,/,195,195,1.0
17,5f3ba61e3fd5b671b2200502,5f3ba61f3fd5b671b22011a3,1,/,/,0.3529411764705882,0.1666666666666666,/,/,/,/,/,/,,,0.0
18,5f3ba61e3fd5b671b2200502,5f3ba61f3fd5b671b220118d,1,/,/,0.5185185185185185,0.2857142857142857,/,/,/,/,/,/,,,0.0
19,5f3ba61e3fd5b671b220054c,5f3ba61f3fd5b671b220111b,1,/,/,0.375,0.0,/,/,/,/,/,/,,,0.0
20,5f3ba61e3fd5b671b220054c,5f3ba61f3fd5b671b220113e,1,/,/,0.3636363636363636,0.0,/,/,/,/,/,/,,,0.0
21,5f3ba61e3fd5b671b220054c,5f3ba61f3fd5b671b220114a,1,/,/,0.3125,0.0,/,/,/,/,/,/,,,0.0
22,5f3ba61e3fd5b671b220050a,5f3ba61f3fd5b671b220111b,1,/,/,0.3125,0.0,/,/,/,/,/,/,,,0.0
23,5f3ba61e3fd5b671b220050a,5f3ba61f3fd5b671b220113e,1,/,/,0.303030303030303,0.0,/,/,/,/,/,/,,,0.0
24,5f3ba61e3fd5b671b220050a,5f3ba61f3fd5b671b220114a,1,/,/,0.3125,0.0,/,/,/,/,/,/,,,0.0
25,5f3ba61e3fd5b671b220053a,5f3ba61f3fd5b671b2201162,1,/,/,0.4242424242424242,0.5,/,/,/,/,/,/,381,381,1.0
26,5f3ba61e3fd5b671b220053a,5f3ba61f3fd5b671b2201150,1,/,/,0.303030303030303,0.0,/,/,/,/,/,/,,,0.0
27,5f3ba61e3fd5b671b22004dc,5f3ba61f3fd5b671b22011a2,1,/,/,0.4117647058823529,0.2857142857142857,/,/,/,/,/,/,,,0.0
28,5f3ba61e3fd5b671b22004dc,5f3ba61f3fd5b671b2201133,1,/,/,0.3529411764705882,0.1666666666666666,/,/,/,/,/,/,,,0.0
29,5f3ba61e3fd5b671b220053c,5f3ba61f3fd5b671b220113d,1,/,/,0.8108108108108109,0.0,/,/,/,/,/,/,,,0.0
30,5f3ba61e3fd5b671b220053c,5f3ba61f3fd5b671b2201145,1,/,/,0.8333333333333334,0.0,/,/,/,/,/,/,,,0.0
31,5f3ba61e3fd5b671b220053c,5f3ba61f3fd5b671b220112c,1,/,/,0.7894736842105263,0.0,/,/,/,/,/,/,,,0.0
32,5f3ba61e3fd5b671b220053c,5f3ba61f3fd5b671b220116c,1,/,/,1.0,1.0,/,/,/,/,/,/,177,177,1.0
33,5f3ba61e3fd5b671b220053c,5f3ba61f3fd5b671b2201175,1,/,/,0.8333333333333334,0.0,/,/,/,/,/,/,,,0.0
