,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61f3fd5b671b22014fa,5f3ba6213fd5b671b220529e,1,/,/,0.8275862068965517,0.75,/,/,/,/,/,/,,,0.0
1,5f3ba61f3fd5b671b22014fa,5f3ba6213fd5b671b2205495,1,/,/,0.8275862068965517,0.75,/,/,/,/,/,/,,,0.0
2,5f3ba61f3fd5b671b22014fa,5f3ba6213fd5b671b2205431,1,/,/,0.8275862068965517,0.75,/,/,/,/,/,/,,,0.0
3,5f3ba61f3fd5b671b2201ddc,5f3ba6213fd5b671b220529e,1,/,/,1.0,1.0,/,/,/,/,/,/,158,158,1.0
4,5f3ba61f3fd5b671b2201ddc,5f3ba6213fd5b671b2205495,1,/,/,1.0,1.0,/,/,/,/,/,/,158,158,1.0
5,5f3ba61f3fd5b671b2201ddc,5f3ba6213fd5b671b2205431,1,/,/,1.0,1.0,/,/,/,/,/,/,158,158,1.0
6,5f3ba6203fd5b671b2202d21,5f3ba6213fd5b671b220529e,1,/,/,0.5882352941176471,0.2,/,/,/,/,/,/,,,0.0
7,5f3ba6203fd5b671b2202d21,5f3ba6213fd5b671b2205495,1,/,/,0.5882352941176471,0.2,/,/,/,/,/,/,,,0.0
8,5f3ba6203fd5b671b2202d21,5f3ba6213fd5b671b2205431,1,/,/,0.5882352941176471,0.2,/,/,/,/,/,/,,,0.0
9,5f3ba6213fd5b671b2204217,5f3ba6213fd5b671b220529e,1,/,/,0.7777777777777778,1.0,/,/,/,/,/,/,158,158,1.0
10,5f3ba6213fd5b671b2204217,5f3ba6213fd5b671b2205495,1,/,/,0.7777777777777778,1.0,/,/,/,/,/,/,158,158,1.0
11,5f3ba6213fd5b671b2204217,5f3ba6213fd5b671b2205431,1,/,/,0.7777777777777778,1.0,/,/,/,/,/,/,158,158,1.0
12,5f3ba6213fd5b671b220489a,5f3ba6213fd5b671b220529e,1,/,/,0.7777777777777778,1.0,/,/,/,/,/,/,158,158,1.0
13,5f3ba6213fd5b671b220489a,5f3ba6213fd5b671b2205495,1,/,/,0.7777777777777778,1.0,/,/,/,/,/,/,158,158,1.0
14,5f3ba6213fd5b671b220489a,5f3ba6213fd5b671b2205431,1,/,/,0.7777777777777778,1.0,/,/,/,/,/,/,158,158,1.0
15,5f3ba61f3fd5b671b2202069,5f3ba6213fd5b671b220529e,1,/,/,1.0,1.0,/,/,/,/,/,/,158,158,1.0
16,5f3ba61f3fd5b671b2202069,5f3ba6213fd5b671b2205495,1,/,/,1.0,1.0,/,/,/,/,/,/,158,158,1.0
17,5f3ba61f3fd5b671b2202069,5f3ba6213fd5b671b2205431,1,/,/,1.0,1.0,/,/,/,/,/,/,158,158,1.0
18,5f3ba6203fd5b671b22029cc,5f3ba6213fd5b671b220529e,1,/,/,1.0,1.0,/,/,/,/,/,/,158,158,1.0
19,5f3ba6203fd5b671b22029cc,5f3ba6213fd5b671b2205495,1,/,/,1.0,1.0,/,/,/,/,/,/,158,158,1.0
20,5f3ba6203fd5b671b22029cc,5f3ba6213fd5b671b2205431,1,/,/,1.0,1.0,/,/,/,/,/,/,158,158,1.0
21,5f3ba6203fd5b671b220349f,5f3ba6213fd5b671b220529e,1,/,/,0.4,0.16666666666666666,/,/,/,/,/,/,,,0.0
22,5f3ba6203fd5b671b220349f,5f3ba6213fd5b671b2205495,1,/,/,0.4,0.16666666666666666,/,/,/,/,/,/,,,0.0
23,5f3ba6203fd5b671b220349f,5f3ba6213fd5b671b2205431,1,/,/,0.4,0.16666666666666666,/,/,/,/,/,/,,,0.0
24,5f3ba6213fd5b671b22040ba,5f3ba6213fd5b671b220529e,1,/,/,1.0,1.0,/,/,/,/,/,/,158,158,1.0
25,5f3ba6213fd5b671b22040ba,5f3ba6213fd5b671b2205495,1,/,/,1.0,1.0,/,/,/,/,/,/,158,158,1.0
26,5f3ba6213fd5b671b22040ba,5f3ba6213fd5b671b2205431,1,/,/,1.0,1.0,/,/,/,/,/,/,158,158,1.0
27,5f3ba6203fd5b671b2202a29,5f3ba6213fd5b671b220529e,1,/,/,0.5517241379310345,0.16666666666666666,/,/,/,/,/,/,,,0.0
28,5f3ba6203fd5b671b2202a29,5f3ba6213fd5b671b2205495,1,/,/,0.5517241379310345,0.16666666666666666,/,/,/,/,/,/,,,0.0
29,5f3ba6203fd5b671b2202a29,5f3ba6213fd5b671b2205431,1,/,/,0.5517241379310345,0.16666666666666666,/,/,/,/,/,/,,,0.0
30,5f3ba6203fd5b671b2203251,5f3ba6213fd5b671b220529e,1,/,/,0.7777777777777778,1.0,/,/,/,/,/,/,158,158,1.0
31,5f3ba6203fd5b671b2203251,5f3ba6213fd5b671b2205495,1,/,/,0.7777777777777778,1.0,/,/,/,/,/,/,158,158,1.0
32,5f3ba6203fd5b671b2203251,5f3ba6213fd5b671b2205431,1,/,/,0.7777777777777778,1.0,/,/,/,/,/,/,158,158,1.0
33,5f3ba6213fd5b671b22044b2,5f3ba6213fd5b671b220529e,1,/,/,0.4,0.16666666666666666,/,/,/,/,/,/,,,0.0
34,5f3ba6213fd5b671b22044b2,5f3ba6213fd5b671b2205495,1,/,/,0.4,0.16666666666666666,/,/,/,/,/,/,,,0.0
35,5f3ba6213fd5b671b22044b2,5f3ba6213fd5b671b2205431,1,/,/,0.4,0.16666666666666666,/,/,/,/,/,/,,,0.0
36,5f3ba6213fd5b671b22049ff,5f3ba6213fd5b671b220529e,1,/,/,0.2727272727272727,0.16666666666666666,/,/,/,/,/,/,,,0.0
37,5f3ba6213fd5b671b22049ff,5f3ba6213fd5b671b2205495,1,/,/,0.2727272727272727,0.16666666666666666,/,/,/,/,/,/,,,0.0
38,5f3ba6213fd5b671b22049ff,5f3ba6213fd5b671b2205431,1,/,/,0.2727272727272727,0.16666666666666666,/,/,/,/,/,/,,,0.0
39,5f3ba61f3fd5b671b2202064,5f3ba6213fd5b671b220529e,1,/,/,0.2727272727272727,0.16666666666666666,/,/,/,/,/,/,,,0.0
40,5f3ba61f3fd5b671b2202064,5f3ba6213fd5b671b2205495,1,/,/,0.2727272727272727,0.16666666666666666,/,/,/,/,/,/,,,0.0
