,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61f3fd5b671b2201196,5f3ba61e3fd5b671b22006b2,1,/,/,0.303030303030303,0.0,/,/,0.47552608555509457,0.3850768653918256,0.3888488301101898,/,,,0.0
1,5f3ba61f3fd5b671b2201111,5f3ba61e3fd5b671b22006b2,1,/,/,0.375,0.0,/,/,0.24529170695768243,0,0,/,,,0.0
2,5f3ba61f3fd5b671b220115a,5f3ba61e3fd5b671b22006b2,1,/,/,0.3636363636363636,0.0,/,/,/,/,/,/,,,0.0
3,5f3ba61f3fd5b671b220113d,5f3ba61e3fd5b671b2200723,1,/,/,0.3243243243243243,0.0,/,/,/,/,/,/,,,0.0
4,5f3ba61f3fd5b671b220113d,5f3ba61e3fd5b671b22006cc,1,/,/,0.3225806451612903,0.0,/,/,/,/,/,/,,,0.0
5,5f3ba61f3fd5b671b220113d,5f3ba61e3fd5b671b2200711,1,/,/,0.2702702702702703,0.0,/,/,/,/,/,/,,,0.0
6,5f3ba61f3fd5b671b2201145,5f3ba61e3fd5b671b2200723,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
7,5f3ba61f3fd5b671b2201145,5f3ba61e3fd5b671b22006cc,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
8,5f3ba61f3fd5b671b2201145,5f3ba61e3fd5b671b2200711,1,/,/,0.2777777777777778,0.0,/,/,/,/,/,/,,,0.0
9,5f3ba61f3fd5b671b220112c,5f3ba61e3fd5b671b2200723,1,/,/,0.3157894736842105,0.0,/,/,/,/,/,/,,,0.0
10,5f3ba61f3fd5b671b220112c,5f3ba61e3fd5b671b22006cc,1,/,/,0.3125,0.0,/,/,/,/,/,/,,,0.0
11,5f3ba61f3fd5b671b220112c,5f3ba61e3fd5b671b2200711,1,/,/,0.2631578947368421,0.0,/,/,/,/,/,/,,,0.0
12,5f3ba61f3fd5b671b220116c,5f3ba61e3fd5b671b2200723,1,/,/,0.3333333333333333,0.0,/,/,0.2796551724137931,0.5453333333333334,0,/,,,0.0
13,5f3ba61f3fd5b671b220116c,5f3ba61e3fd5b671b22006cc,1,/,/,0.3333333333333333,0.0,/,/,/,/,0,/,,,0.0
14,5f3ba61f3fd5b671b220116c,5f3ba61e3fd5b671b2200711,1,/,/,0.2777777777777778,0.0,/,/,0.6515876691884105,0.42947920983561283,0.6679620474406992,/,,,0.0
15,5f3ba61f3fd5b671b2201175,5f3ba61e3fd5b671b2200723,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
16,5f3ba61f3fd5b671b2201175,5f3ba61e3fd5b671b22006cc,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
17,5f3ba61f3fd5b671b2201175,5f3ba61e3fd5b671b2200711,1,/,/,0.2777777777777778,0.0,/,/,/,/,/,/,,,0.0
18,5f3ba61f3fd5b671b2201162,5f3ba61e3fd5b671b220070e,1,/,/,0.303030303030303,0.0,/,/,0.4712643678160918,0.5413073365829266,0.37172730492897077,/,,,0.0
19,5f3ba61f3fd5b671b2201150,5f3ba61e3fd5b671b220070e,1,/,/,0.3636363636363636,0.0,/,/,/,/,/,/,,,0.0
20,5f3ba61f3fd5b671b22011a4,5f3ba61e3fd5b671b2200730,1,/,/,0.2777777777777778,0.0,/,/,/,/,/,/,,,0.0
21,5f3ba61f3fd5b671b2201117,5f3ba61e3fd5b671b2200730,1,/,/,0.2777777777777778,0.0,/,/,/,/,0.5174741065594828,/,,,0.0
22,5f3ba61f3fd5b671b220113c,5f3ba61e3fd5b671b2200730,1,/,/,0.2631578947368421,0.0,/,/,/,/,/,/,,,0.0
23,5f3ba61f3fd5b671b220117e,5f3ba61e3fd5b671b22006e9,/,/,/,0.3125,0.0,/,/,0.27552730607469245,0,0,/,,,0.0
24,5f3ba61f3fd5b671b220117e,5f3ba61e3fd5b671b220069f,/,/,/,0.303030303030303,0.0,/,/,0.27552730607469245,0,0,/,,,0.0
25,5f3ba61f3fd5b671b220117e,5f3ba61e3fd5b671b2200713,/,/,/,0.3448275862068966,0.0,/,/,/,/,0,/,,,0.0
26,5f3ba61f3fd5b671b220117e,5f3ba61e3fd5b671b220073d,/,/,/,0.375,0.0,/,/,0.2860469054271443,0,0,/,,,0.0
27,5f3ba61f3fd5b671b220117e,5f3ba61e3fd5b671b22006b3,/,/,/,0.303030303030303,0.0,/,/,0.21414234985332747,0,0,/,,,0.0
28,5f3ba61f3fd5b671b2201159,5f3ba61e3fd5b671b22006e9,/,/,/,0.3125,0.0,/,/,0,0,0,/,,,0.0
29,5f3ba61f3fd5b671b2201159,5f3ba61e3fd5b671b220069f,/,/,/,0.303030303030303,0.0,/,/,0,0,0,/,,,0.0
30,5f3ba61f3fd5b671b2201159,5f3ba61e3fd5b671b2200713,/,/,/,0.3448275862068966,0.0,/,/,/,/,0,/,,,0.0
31,5f3ba61f3fd5b671b2201159,5f3ba61e3fd5b671b220073d,/,/,/,0.375,0.0,/,/,0,0,0,/,,,0.0
32,5f3ba61f3fd5b671b2201159,5f3ba61e3fd5b671b22006b3,/,/,/,0.303030303030303,0.0,/,/,0,0,0,/,,,0.0
