,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b220056f,5f3ba6213fd5b671b2204d1f,1,/,/,0.8695652173913043,0.1666666666666666,/,/,/,/,/,/,,,0.0
1,5f3ba61e3fd5b671b220056f,5f3ba6213fd5b671b2204d83,1,/,/,0.8260869565217391,0.0,/,/,/,/,/,/,,,0.0
2,5f3ba61e3fd5b671b220056f,5f3ba6213fd5b671b2204e4d,1,/,/,1.0,0.4,/,/,/,/,/,/,1630,1630,1.0
3,5f3ba61e3fd5b671b220057a,5f3ba6213fd5b671b2204d34,1,/,/,0.8181818181818182,0.0,/,/,/,/,/,/,,,0.0
4,5f3ba61e3fd5b671b220057a,5f3ba6213fd5b671b2204f0e,1,/,/,0.8181818181818182,0.0,/,/,/,/,/,/,,,0.0
5,5f3ba61e3fd5b671b2200568,5f3ba6213fd5b671b2204d34,1,/,/,0.8181818181818182,0.0,/,/,/,/,/,/,,,0.0
6,5f3ba61e3fd5b671b2200568,5f3ba6213fd5b671b2204f0e,1,/,/,0.8181818181818182,0.0,/,/,/,/,/,/,,,0.0
7,5f3ba61e3fd5b671b2200584,5f3ba6213fd5b671b2204cec,1,/,/,1.0,0.4,/,/,/,/,/,/,80,80,1.0
8,5f3ba61e3fd5b671b220059a,5f3ba6213fd5b671b2204ed1,1,/,/,0.6666666666666666,1.0,/,/,/,/,/,/,136,136,1.0
9,5f3ba61e3fd5b671b22005bb,5f3ba6213fd5b671b2204eda,1,/,/,0.2285714285714285,0.0,/,/,/,/,/,/,,,0.0
10,5f3ba61e3fd5b671b22005bb,5f3ba6213fd5b671b2204e93,1,/,/,0.72,0.0,/,/,/,/,/,/,61,61,1.0
11,5f3ba61e3fd5b671b22005bb,5f3ba6213fd5b671b2204ee6,1,/,/,0.4,0.0,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b22005bb,5f3ba6213fd5b671b2204df1,1,/,/,0.2285714285714285,0.0,/,/,/,/,/,/,,,0.0
13,5f3ba61e3fd5b671b22005bb,5f3ba6213fd5b671b2204e7d,1,/,/,0.2222222222222222,0.0,/,/,/,/,/,/,,,0.0
14,5f3ba61e3fd5b671b22005bb,5f3ba6213fd5b671b2204eb8,1,/,/,0.4,0.0,/,/,/,/,/,/,,,0.0
15,5f3ba61e3fd5b671b22005bb,5f3ba6213fd5b671b2204d17,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
16,5f3ba61e3fd5b671b22005c5,5f3ba6213fd5b671b2204ced,1,/,/,1.0,0.4,/,/,/,/,/,/,1398,1398,1.0
17,5f3ba61e3fd5b671b22005da,5f3ba6213fd5b671b2204cc0,1,/,/,1.0,1.0,/,/,/,/,/,/,576,576,1.0
18,5f3ba61e3fd5b671b22005e6,5f3ba6213fd5b671b2204d1d,1,/,/,0.8372093023255814,0.0,/,/,/,/,/,/,,,0.0
