,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba6213fd5b671b2204f93,5f3ba61e3fd5b671b22006e8,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
1,5f3ba6213fd5b671b2204f93,5f3ba61e3fd5b671b22006c7,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
2,5f3ba6213fd5b671b2204f93,5f3ba61e3fd5b671b22006b4,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
3,5f3ba6213fd5b671b2205033,5f3ba61e3fd5b671b22006e8,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
4,5f3ba6213fd5b671b2205033,5f3ba61e3fd5b671b22006c7,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
5,5f3ba6213fd5b671b2205033,5f3ba61e3fd5b671b22006b4,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
6,5f3ba6213fd5b671b2204fa4,5f3ba61e3fd5b671b22006cd,1,/,/,1.0,1.0,/,/,/,/,/,/,14,14,1.0
7,5f3ba6213fd5b671b2205048,5f3ba61e3fd5b671b22006cd,1,/,/,1.0,1.0,/,/,/,/,/,/,14,14,1.0
8,5f3ba6213fd5b671b220519f,5f3ba61e3fd5b671b22006cd,1,/,/,1.0,1.0,/,/,/,/,/,/,14,14,1.0
9,5f3ba6213fd5b671b2204fae,5f3ba61e3fd5b671b22006cd,1,/,/,1.0,1.0,/,/,/,/,/,/,14,14,1.0
10,5f3ba6213fd5b671b2204fd9,5f3ba61e3fd5b671b22006cd,1,/,/,1.0,1.0,/,/,/,/,/,/,14,14,1.0
11,5f3ba6213fd5b671b2205146,5f3ba61e3fd5b671b22006cd,1,/,/,1.0,1.0,/,/,/,/,/,/,14,14,1.0
12,5f3ba6213fd5b671b2204f9a,5f3ba61e3fd5b671b22006cd,1,/,/,1.0,1.0,/,/,/,/,/,/,14,14,1.0
13,5f3ba6213fd5b671b2204fc9,5f3ba61e3fd5b671b22006cd,1,/,/,1.0,1.0,/,/,/,/,/,/,14,14,1.0
14,5f3ba6213fd5b671b2205002,5f3ba61e3fd5b671b22006cd,1,/,/,1.0,1.0,/,/,/,/,/,/,14,14,1.0
15,5f3ba6213fd5b671b2205039,5f3ba61e3fd5b671b22006dd,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
16,5f3ba6213fd5b671b2205039,5f3ba61e3fd5b671b22006b9,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
17,5f3ba6213fd5b671b2205039,5f3ba61e3fd5b671b2200710,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
18,5f3ba6213fd5b671b2205039,5f3ba61e3fd5b671b22006fd,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
19,5f3ba6213fd5b671b2205039,5f3ba61e3fd5b671b220075b,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
20,5f3ba6213fd5b671b2205039,5f3ba61e3fd5b671b2200715,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
