,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b220016c,5f3ba6213fd5b671b220454c,/,/,/,0.3703703703703703,0,/,/,/,/,/,/,,,0.0
1,5f3ba61e3fd5b671b220016c,5f3ba6203fd5b671b2202564,/,/,/,0.3571428571428571,0,/,/,/,/,/,/,,,0.0
2,5f3ba61e3fd5b671b220016c,5f3ba61f3fd5b671b2202022,/,/,/,0.2702702702702703,0,/,/,/,/,/,/,,,0.0
3,5f3ba61e3fd5b671b220016c,5f3ba6203fd5b671b2203592,/,/,/,0.3125,0,/,/,/,/,/,/,,,0.0
4,5f3ba61e3fd5b671b220016c,5f3ba6213fd5b671b2203b19,/,/,/,0.6,/,/,/,/,/,/,/,,,0.0
5,5f3ba61e3fd5b671b220016c,5f3ba6213fd5b671b220434f,/,/,/,0.2941176470588235,0,/,/,/,/,/,/,,,0.0
6,5f3ba61e3fd5b671b220016c,5f3ba6213fd5b671b2204031,/,/,/,0.0,0,/,/,/,/,/,/,,,0.0
7,5f3ba61e3fd5b671b220016c,5f3ba6203fd5b671b2202702,/,/,/,0.2941176470588235,0,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b220016c,5f3ba6213fd5b671b2203d61,/,/,/,0.0,/,/,/,/,/,/,/,,,0.0
9,5f3ba61e3fd5b671b22001ac,5f3ba6213fd5b671b220454c,/,/,/,0.3703703703703703,0,/,/,/,/,/,/,,,0.0
10,5f3ba61e3fd5b671b22001ac,5f3ba6203fd5b671b2202564,/,/,/,0.3571428571428571,0,/,/,/,/,/,/,,,0.0
11,5f3ba61e3fd5b671b22001ac,5f3ba61f3fd5b671b2202022,/,/,/,0.2702702702702703,0,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b22001ac,5f3ba6203fd5b671b2203592,/,/,/,0.3125,0,/,/,/,/,/,/,,,0.0
13,5f3ba61e3fd5b671b22001ac,5f3ba6213fd5b671b2203b19,/,/,/,0.6,/,/,/,/,/,/,/,,,0.0
14,5f3ba61e3fd5b671b22001ac,5f3ba6213fd5b671b220434f,/,/,/,0.2941176470588235,0,/,/,/,/,/,/,,,0.0
15,5f3ba61e3fd5b671b22001ac,5f3ba6213fd5b671b2204031,/,/,/,0.0,0,/,/,/,/,/,/,,,0.0
