,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b2200523,5f3ba61e3fd5b671b2200691,1,/,/,1.0,1.0,/,/,/,/,/,/,662,662,1.0
1,5f3ba61e3fd5b671b22004ed,5f3ba61e3fd5b671b2200691,1,/,/,1.0,1.0,/,/,/,/,/,/,662,662,1.0
2,5f3ba61e3fd5b671b2200522,5f3ba61e3fd5b671b2200691,1,/,/,1.0,1.0,/,/,/,/,/,/,662,662,1.0
3,5f3ba61e3fd5b671b2200524,5f3ba61e3fd5b671b220062d,1,/,/,0.4444444444444444,0.5,/,/,/,/,/,/,655,655,1.0
4,5f3ba61e3fd5b671b2200530,5f3ba61e3fd5b671b220062d,1,/,/,0.4324324324324324,0.4285714285714285,/,/,/,/,/,/,655,655,1.0
5,5f3ba61e3fd5b671b2200527,5f3ba61e3fd5b671b2200666,1,/,/,0.782608695652174,0.6666666666666666,/,/,/,/,0.6666666666666667,1.0,,,0.0
6,5f3ba61e3fd5b671b220054d,5f3ba61e3fd5b671b220065d,1,/,/,1.0,1.0,/,/,/,/,/,/,380,380,1.0
7,5f3ba61e3fd5b671b22004e4,5f3ba61e3fd5b671b22005e8,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,1.0,,,0.0
8,5f3ba61e3fd5b671b2200541,5f3ba61e3fd5b671b22005e8,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,1.0,,,0.0
9,5f3ba61e3fd5b671b22004f1,5f3ba61e3fd5b671b22005b2,1,/,/,1.0,1.0,/,/,/,/,/,/,122,122,1.0
10,5f3ba61e3fd5b671b22004f1,5f3ba61e3fd5b671b2200684,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
11,5f3ba61e3fd5b671b22004e6,5f3ba61e3fd5b671b22005b2,1,/,/,1.0,1.0,/,/,/,/,/,/,122,122,1.0
12,5f3ba61e3fd5b671b22004e6,5f3ba61e3fd5b671b2200684,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
13,5f3ba61e3fd5b671b220050c,5f3ba61e3fd5b671b2200680,1,/,/,0.5,0.0,/,/,/,/,/,1.0,,,0.0
14,5f3ba61e3fd5b671b2200543,5f3ba61e3fd5b671b2200680,1,/,/,0.5,0.0,/,/,/,/,/,1.0,,,0.0
15,5f3ba61e3fd5b671b22004fc,5f3ba61e3fd5b671b2200680,1,/,/,0.5,0.0,/,/,/,/,/,1.0,,,0.0
16,5f3ba61e3fd5b671b2200520,5f3ba61e3fd5b671b2200680,1,/,/,0.5,0.0,/,/,/,/,/,1.0,,,0.0
17,5f3ba61e3fd5b671b2200531,5f3ba61e3fd5b671b2200559,1,/,/,0.2857142857142857,0.0,/,/,/,/,/,/,,,0.0
18,5f3ba61e3fd5b671b2200531,5f3ba61e3fd5b671b22005b9,1,/,/,0.2857142857142857,0.0,/,/,/,/,/,/,,,0.0
19,5f3ba61e3fd5b671b2200531,5f3ba61e3fd5b671b22005cd,1,/,/,0.2758620689655172,0.0,/,/,/,/,/,/,,,0.0
20,5f3ba61e3fd5b671b2200536,5f3ba61e3fd5b671b2200668,1,/,/,0.75,0.5,/,/,/,/,0,0.1,,,0.0
21,5f3ba61e3fd5b671b220050f,5f3ba61e3fd5b671b2200668,1,/,/,0.75,0.5,/,/,/,/,0,0.1,,,0.0
22,5f3ba61e3fd5b671b220051e,5f3ba61e3fd5b671b2200668,1,/,/,0.75,0.5,/,/,/,/,0,0.1,,,0.0
23,5f3ba61e3fd5b671b22004e1,5f3ba61e3fd5b671b2200591,1,/,/,0.5128205128205128,0.7142857142857143,/,/,1.0,1.0,1.0,/,659,659,1.0
24,5f3ba61e3fd5b671b2200504,5f3ba61e3fd5b671b2200591,1,/,/,0.5128205128205128,0.7142857142857143,/,/,1.0,1.0,1.0,/,659,659,1.0
25,5f3ba61e3fd5b671b220051d,5f3ba61e3fd5b671b2200591,1,/,/,0.5263157894736842,0.8333333333333334,/,/,1.0,1.0,1.0,/,659,659,1.0
26,5f3ba61e3fd5b671b22004e9,5f3ba61e3fd5b671b220064d,1,/,/,1.0,1.0,/,/,/,/,/,/,22,22,1.0
27,5f3ba61e3fd5b671b2200545,5f3ba61e3fd5b671b220064d,1,/,/,1.0,1.0,/,/,/,/,/,/,22,22,1.0
28,5f3ba61e3fd5b671b2200506,5f3ba61e3fd5b671b220064d,1,/,/,1.0,1.0,/,/,/,/,/,/,22,22,1.0
29,5f3ba61e3fd5b671b2200516,5f3ba61e3fd5b671b220064d,1,/,/,1.0,1.0,/,/,/,/,/,/,22,22,1.0
30,5f3ba61e3fd5b671b2200513,5f3ba61e3fd5b671b2200677,1,/,/,0.48,0.3333333333333333,/,/,1.0,1.0,1.0,/,98,98,1.0
31,5f3ba61e3fd5b671b2200518,5f3ba61e3fd5b671b2200677,1,/,/,1.0,1.0,/,/,1.0,1.0,1.0,/,98,98,1.0
32,5f3ba61e3fd5b671b22004dd,5f3ba61e3fd5b671b2200677,1,/,/,1.0,1.0,/,/,1.0,1.0,1.0,/,98,98,1.0
33,5f3ba61e3fd5b671b220051c,5f3ba61e3fd5b671b2200677,1,/,/,0.4615384615384615,0.25,/,/,1.0,1.0,1.0,/,98,98,1.0
34,5f3ba61e3fd5b671b2200553,5f3ba61e3fd5b671b2200598,1,/,/,0.5,0.1428571428571428,/,/,/,/,/,/,,,0.0
35,5f3ba61e3fd5b671b22004f0,5f3ba61e3fd5b671b220055a,1,/,/,1.0,1.0,/,/,/,/,/,/,164,164,1.0
36,5f3ba61e3fd5b671b2200507,5f3ba61e3fd5b671b220055a,1,/,/,1.0,1.0,/,/,/,/,/,/,164,164,1.0
37,5f3ba61e3fd5b671b22004ef,5f3ba61e3fd5b671b220055a,1,/,/,1.0,1.0,/,/,/,/,/,/,164,164,1.0
38,5f3ba61e3fd5b671b2200509,5f3ba61e3fd5b671b2200686,1,/,/,0.8,0.7142857142857143,/,/,1.0,1.0,1.0,/,658,658,1.0
39,5f3ba61e3fd5b671b2200503,5f3ba61e3fd5b671b2200686,1,/,/,0.8275862068965517,0.8333333333333334,/,/,1.0,1.0,1.0,/,658,658,1.0
40,5f3ba61e3fd5b671b220050d,5f3ba61e3fd5b671b2200563,1,/,/,0.8275862068965517,0.8333333333333334,/,/,/,/,/,/,660,660,1.0
41,5f3ba61e3fd5b671b22004fa,5f3ba61e3fd5b671b2200563,1,/,/,0.8275862068965517,0.8333333333333334,/,/,/,/,/,/,660,660,1.0
42,5f3ba61e3fd5b671b22004fb,5f3ba61e3fd5b671b2200563,1,/,/,0.8,0.7142857142857143,/,/,/,/,/,/,660,660,1.0
43,5f3ba61e3fd5b671b2200535,5f3ba61e3fd5b671b2200688,1,/,/,1.0,1.0,/,/,/,/,/,/,105,105,1.0
44,5f3ba61e3fd5b671b2200510,5f3ba61e3fd5b671b2200688,1,/,/,1.0,1.0,/,/,/,/,/,/,105,105,1.0
45,5f3ba61e3fd5b671b22004ec,5f3ba61e3fd5b671b2200688,1,/,/,1.0,1.0,/,/,/,/,/,/,105,105,1.0
46,5f3ba61e3fd5b671b22004eb,5f3ba61e3fd5b671b2200584,1,/,/,0.8292682926829268,1.0,/,/,/,/,/,/,80,80,1.0
47,5f3ba61e3fd5b671b220052c,5f3ba61e3fd5b671b2200584,1,/,/,0.8292682926829268,1.0,/,/,/,/,/,/,80,80,1.0
48,5f3ba61e3fd5b671b220052d,5f3ba61e3fd5b671b220061f,1,/,/,1.0,1.0,/,/,/,/,/,/,257,257,1.0
49,5f3ba61e3fd5b671b2200548,5f3ba61e3fd5b671b220061f,1,/,/,1.0,1.0,/,/,/,/,/,/,257,257,1.0
50,5f3ba61e3fd5b671b2200521,5f3ba61e3fd5b671b220061f,1,/,/,1.0,1.0,/,/,/,/,/,/,257,257,1.0
51,5f3ba61e3fd5b671b2200550,5f3ba61e3fd5b671b2200685,1,/,/,1.0,1.0,/,/,/,/,/,/,9,9,1.0
52,5f3ba61e3fd5b671b22004e2,5f3ba61e3fd5b671b2200685,1,/,/,1.0,1.0,/,/,/,/,/,/,9,9,1.0
53,5f3ba61e3fd5b671b220053d,5f3ba61e3fd5b671b2200685,1,/,/,1.0,1.0,/,/,/,/,/,/,9,9,1.0
54,5f3ba61e3fd5b671b22004e3,5f3ba61e3fd5b671b2200694,1,/,/,0.6486486486486487,0.5,/,/,/,/,/,/,668,668,1.0
55,5f3ba61e3fd5b671b2200502,5f3ba61e3fd5b671b2200601,1,/,/,0.4242424242424242,0.5,/,/,/,/,/,/,195,195,1.0
56,5f3ba61e3fd5b671b2200511,5f3ba61e3fd5b671b2200593,1,/,/,1.0,0.4,/,/,/,/,/,/,204,204,1.0
57,5f3ba61e3fd5b671b2200511,5f3ba61e3fd5b671b22005d8,1,/,/,0.7692307692307693,0.1666666666666666,/,/,/,/,/,/,,,0.0
58,5f3ba61e3fd5b671b220053b,5f3ba61e3fd5b671b2200600,1,/,/,1.0,1.0,/,/,/,/,/,/,57,57,1.0
59,5f3ba61e3fd5b671b220054c,5f3ba61e3fd5b671b22005f2,1,/,/,0.303030303030303,0.0,/,/,/,/,/,/,,,0.0
60,5f3ba61e3fd5b671b220054c,5f3ba61e3fd5b671b22005fe,1,/,/,1.0,1.0,/,/,/,/,/,/,125,125,1.0
61,5f3ba61e3fd5b671b220050a,5f3ba61e3fd5b671b22005f2,1,/,/,0.4242424242424242,0.5,/,/,/,/,/,/,7,7,1.0
62,5f3ba61e3fd5b671b220050a,5f3ba61e3fd5b671b22005fe,1,/,/,0.3846153846153846,0.0,/,/,/,/,/,/,,,0.0
63,5f3ba61e3fd5b671b2200512,5f3ba61e3fd5b671b22005f2,1,/,/,0.303030303030303,0.0,/,/,/,/,/,/,,,0.0
64,5f3ba61e3fd5b671b2200512,5f3ba61e3fd5b671b22005fe,1,/,/,1.0,1.0,/,/,/,/,/,/,125,125,1.0
65,5f3ba61e3fd5b671b22004fd,5f3ba61e3fd5b671b2200642,1,/,/,1.0,1.0,/,/,/,/,/,/,21,21,1.0
66,5f3ba61e3fd5b671b22004e7,5f3ba61e3fd5b671b22005d0,1,/,/,0.7142857142857143,0.2,/,/,/,/,0.0031746031746029413,/,,,0.0
67,5f3ba61e3fd5b671b220053f,5f3ba61e3fd5b671b220066c,1,/,/,0.5714285714285714,0.0,/,/,0.696969696969697,0.026217228464419318,0.21568627450980393,0.2727272727272727,,,0.0
68,5f3ba61e3fd5b671b2200544,5f3ba61e3fd5b671b2200663,1,/,/,1.0,1.0,/,/,/,/,/,/,111,111,1.0
69,5f3ba61e3fd5b671b22004de,5f3ba61e3fd5b671b22005eb,1,/,/,0.6285714285714286,0.4,/,/,/,/,/,/,671,671,1.0
70,5f3ba61e3fd5b671b220053c,5f3ba61e3fd5b671b2200565,1,/,/,0.3225806451612903,0.0,/,/,/,/,/,/,,,0.0
71,5f3ba61e3fd5b671b220053c,5f3ba61e3fd5b671b22005c8,1,/,/,1.0,1.0,/,/,/,/,/,/,177,177,1.0
