,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b220024a,5f3ba6213fd5b671b2204dea,1,/,/,0.4210526315789473,0.0,/,/,/,/,/,/,,,0.0
1,5f3ba61e3fd5b671b220024a,5f3ba6213fd5b671b2204cfa,1,/,/,0.4102564102564102,0.0,/,/,/,/,/,/,,,0.0
2,5f3ba61e3fd5b671b220024a,5f3ba6213fd5b671b2204e07,1,/,/,0.8292682926829268,1.0,/,/,/,/,/,/,174,174,1.0
3,5f3ba61e3fd5b671b220035b,5f3ba6213fd5b671b2204dea,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
4,5f3ba61e3fd5b671b220035b,5f3ba6213fd5b671b2204cfa,1,/,/,0.7586206896551724,1.0,/,/,/,/,/,/,214,214,1.0
5,5f3ba61e3fd5b671b220035b,5f3ba6213fd5b671b2204e07,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
6,5f3ba61e3fd5b671b220025e,5f3ba6213fd5b671b2204ebe,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
7,5f3ba61e3fd5b671b220025e,5f3ba6213fd5b671b2204e9c,1,/,/,1.0,1.0,/,/,/,/,/,/,122,122,1.0
8,5f3ba61e3fd5b671b2200297,5f3ba6213fd5b671b2204e6f,1,/,/,0.5263157894736842,0.8571428571428571,/,/,/,/,/,/,187,187,1.0
9,5f3ba61e3fd5b671b220029d,5f3ba6213fd5b671b2204e14,1,/,/,1.0,1.0,/,/,/,/,/,/,22,22,1.0
10,5f3ba61e3fd5b671b220029e,5f3ba6213fd5b671b2204f1e,1,/,/,0.6,0.0,/,/,/,/,/,/,,,0.0
11,5f3ba61e3fd5b671b220029e,5f3ba6213fd5b671b2204e51,1,/,/,0.6,0.0,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b220029e,5f3ba6213fd5b671b2204d5e,1,/,/,0.6,0.0,/,/,/,/,/,/,,,0.0
13,5f3ba61e3fd5b671b220029e,5f3ba6213fd5b671b2204cf1,1,/,/,0.7619047619047619,1.0,/,/,/,/,/,/,8,8,1.0
14,5f3ba61e3fd5b671b220037c,5f3ba6213fd5b671b2204f1e,1,/,/,0.7368421052631579,1.0,/,/,/,/,/,/,35,35,1.0
15,5f3ba61e3fd5b671b220037c,5f3ba6213fd5b671b2204e51,1,/,/,0.631578947368421,0.0,/,/,/,/,/,/,,,0.0
16,5f3ba61e3fd5b671b220037c,5f3ba6213fd5b671b2204d5e,1,/,/,0.631578947368421,0.0,/,/,/,/,/,/,,,0.0
17,5f3ba61e3fd5b671b220037c,5f3ba6213fd5b671b2204cf1,1,/,/,0.6,0.0,/,/,/,/,/,/,,,0.0
18,5f3ba61e3fd5b671b22002c4,5f3ba6213fd5b671b2204f1e,1,/,/,0.631578947368421,0.0,/,/,/,/,/,/,,,0.0
19,5f3ba61e3fd5b671b22002c4,5f3ba6213fd5b671b2204e51,1,/,/,0.7368421052631579,1.0,/,/,/,/,/,/,178,178,1.0
20,5f3ba61e3fd5b671b22002c4,5f3ba6213fd5b671b2204d5e,1,/,/,0.631578947368421,0.0,/,/,/,/,/,/,,,0.0
21,5f3ba61e3fd5b671b22002c4,5f3ba6213fd5b671b2204cf1,1,/,/,0.6,0.0,/,/,/,/,/,/,,,0.0
