,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b22000ce,5f3ba6213fd5b671b2205472,1,/,/,1.0,1.0,/,/,/,/,/,/,22,22,1.0
1,5f3ba61e3fd5b671b22000d1,5f3ba6213fd5b671b22052f3,1,/,/,0.8292682926829268,0.4,/,/,/,/,/,/,80,80,1.0
2,5f3ba61e3fd5b671b22000d2,5f3ba6213fd5b671b2205357,1,/,/,0.4571428571428571,0.1428571428571428,/,0,0.4230769230769229,0.2753623188405797,0,/,,,0.0
3,5f3ba61e3fd5b671b22000d2,5f3ba6213fd5b671b2205341,1,/,/,1.0,1.0,/,/,/,/,/,/,110,110,1.0
4,5f3ba61e3fd5b671b22000d9,5f3ba6213fd5b671b220545f,/,/,/,1.0,1.0,/,/,/,/,/,/,910,910,1.0
5,5f3ba61e3fd5b671b220010c,5f3ba6213fd5b671b220545f,/,/,/,0.3448275862068966,0.0,/,/,/,/,/,/,,,0.0
6,5f3ba61e3fd5b671b22000e8,5f3ba6213fd5b671b220534d,1,/,/,0.8260869565217391,0.1111111111111111,/,/,/,/,/,/,,,0.0
7,5f3ba61e3fd5b671b22000e8,5f3ba6213fd5b671b2205483,1,/,/,0.8695652173913043,0.25,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b2205328,1,/,/,0.8484848484848485,0.0,/,/,/,/,/,/,,,0.0
9,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b220547d,1,/,/,0.5517241379310345,0.0,/,0,0.9399399399399402,0.8974358974358974,0.9515151515151515,/,,,0.0
10,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b220540d,1,/,/,1.0,1.0,/,/,/,/,/,/,113,113,1.0
11,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b2205496,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b22052a5,1,/,/,0.4705882352941176,0.0,/,/,0.7247706422018347,0.8974358974358974,0.3849938499384994,/,,,0.0
13,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b2205328,1,/,/,1.0,1.0,/,/,/,/,/,/,624,624,1.0
14,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b220547d,1,/,/,0.5714285714285714,0.0,/,0,0.8563218390804598,0.1570881226053643,0,/,,,0.0
15,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b220540d,1,/,/,0.8484848484848485,0.0,/,/,/,/,/,/,,,0.0
